Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000001950	1.7845087071469812	404	other	0.03509076695908973
ENSDARG00000001953	0.3530176505482227	284	other	0.024667766872231392
ENSDARG00000001969	-0.027720714764623976	24	other	0.002084600017371667
ENSDARG00000001975	0.5416478889089232	858	other	0.07452445062103709
ENSDARG00000001976	-0.1949847469412482	1339	high zero count	0.11630330930252758
ENSDARG00000001994	1.2822681083396625	716	other	0.06219056718492139
ENSDARG00000001999	0.6242745632701096	291	other	0.02527577521063146
ENSDARG00000002002	0.2131344233731129	3452	high zero count	0.2998349691652914
ENSDARG00000002006	0.2932792449989483	68	other	0.005906366715886389
ENSDARG00000002013	1.022579570336595	159	other	0.013810475115087293
ENSDARG00000002016	0.5775875418572379	886	other	0.07695648397463736
ENSDARG00000002020	0.2968445135862257	550	other	0.04777208373143403
ENSDARG00000002026	0.10300798540148828	984	other	0.08546860071223834
ENSDARG00000002031	0.48128213224566885	137	other	0.011899591765829932
ENSDARG00000002037	0.2565285963757789	3517	high zero count	0.30548076087900633
ENSDARG00000002060	0.1524869124048737	1011	other	0.08781377573178147
ENSDARG00000002077	-0.018230956319817523	881	other	0.0765221923043516
ENSDARG00000002082	1.048731553606026	5	other	4.342916702857639e-4
ENSDARG00000002127	0.9487135077492004	135	other	0.011725875097715626
ENSDARG00000002128	0.5213908232332056	243	other	0.021106575175888126
ENSDARG00000002131	0.5676082288511993	151	other	0.01311560844263007
ENSDARG00000002165	0.7248569664884839	932	other	0.08095196734126639
ENSDARG00000002168	0.9976543995739484	23	other	0.001997741683314514
ENSDARG00000002172	0.297861136558671	300	other	0.026057500217145837
ENSDARG00000002174	0.3013894020938598	751	other	0.06523060887692174
ENSDARG00000002184	0.7579417018260065	144	other	0.01250760010423
ENSDARG00000002190	0.813772310283955	27	other	0.002345175019543125
ENSDARG00000002196	1.0386750370844984	244	other	0.021193433509945278
ENSDARG00000002197	0.49637849220213165	2629	high zero count	0.22835056023625466
ENSDARG00000002210	0.1377710018449298	2584	high zero count	0.2244419352036828
ENSDARG00000002213	-0.05473798965101234	318	other	0.027620950230174586
ENSDARG00000002215	1.189762437027309	20	other	0.0017371666811430556
ENSDARG00000002216	0.32259619206696155	296	other	0.025710066880917225
ENSDARG00000002217	0.6820251328343664	90	other	0.007817250065143751
ENSDARG00000002220	0.6752130282705672	91	other	0.007904108399200903
ENSDARG00000002230	0.6432847922587029	257	other	0.022322591852688266
ENSDARG00000002235	0.1472002817362534	673	other	0.05845565882046382
ENSDARG00000002240	1.7003474372250402	38	other	0.0033006166941718057
ENSDARG00000002249	0.3101456485558615	3090	high zero count	0.2683922522366021
ENSDARG00000002255	0.6412323339586641	1183	high zero count	0.10275340918961175
ENSDARG00000002264	0.7092275024371977	405	other	0.03517762529314688
ENSDARG00000002267	1.2779806508094693	63	other	0.0054720750456006256
