Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000033179	-0.7173084118108722	0.1066945636768467	-155.66949409027532	0	0	6945.967943938991
ENSDARG00000058022	-0.901061537735813	0.1930688987387221	-155.54426403786516	0	0	6938.962376034084
ENSDARG00000069494	-0.6977083775182168	0.006427571304073027	-155.41224886624937	0	0	6931.575523214238
ENSDARG00000101510	-1.1970362181040513	0.220014103508067	-155.12889745737323	0	0	6915.714787256338
ENSDARG00000013950	-0.6094481271142406	-0.02874228346920263	-154.81491434797772	0	0	6898.130009545016
ENSDARG00000103099	-0.9427818709626693	0.08182198126532164	-154.80760407545634	0	0	6897.720476536994
ENSDARG00000095922	-1.0315042716674694	0.10394954387731771	-154.26479357808057	0	0	6867.2964795128755
ENSDARG00000091988	-1.5370664796730695	0.2005200146327447	-153.77276761569846	0	0	6839.693626433389
ENSDARG00000074985	-1.1083260741433212	0.6053609206135037	-152.97172584218484	0	0	6794.703873187019
ENSDARG00000092259	-1.5798132762483812	0.18976573858925844	-152.51959567003655	0	0	6769.2827496587615
ENSDARG00000039268	-1.16755436256695	0.24654402982094684	-152.4672946206256	0	0	6766.340831326324
ENSDARG00000089094	-1.0209750498767156	0.07150111148491277	-152.36424062577868	0	0	6760.543300794246
ENSDARG00000032603	-0.7619202548418192	0.053036677594782616	-152.3057894824378	0	0	6757.254546334974
ENSDARG00000023703	-1.1789103250207713	0.47309189424476145	-152.23805850844448	0	0	6753.443249673746
ENSDARG00000043467	-1.3735741162617485	0.886871204425939	-152.2290585481862	0	0	6752.936778677235
ENSDARG00000096141	-0.7448419765675419	-0.03531470424408316	-151.67126202775347	0	0	6721.531693133174
ENSDARG00000069996	-1.2011380609156663	0.36856395974472744	-150.8292792156633	0	0	6674.070102414927
ENSDARG00000069796	-1.173216588015574	0.3028040951983926	-150.54549211994748	0	0	6658.05824631224
ENSDARG00000091280	-1.6687619104551328	0.31434888865723987	-150.29330501244573	0	0	6643.822982930376
ENSDARG00000052158	-1.3933654981305275	0.1833668146117865	-149.75566276873616	0	0	6613.454756045404
ENSDARG00000093416	-1.0907343187062424	0.074707071242499	-149.61943815636576	0	0	6605.755973862556
ENSDARG00000098186	-0.8943096831432626	0.22873967314473578	-149.52114046029874	0	0	6600.199579592682
ENSDARG00000054290	2.9887471385629776	3.1661725013627633	149.23038428269535	0	0	6583.759029726136
ENSDARG00000045705	-0.809352811266629	0.035641817601756304	-149.21981915622217	0	0	6583.161487727398
ENSDARG00000086204	-1.0988775508481756	0.09465592952568327	-149.04197535970764	0	0	6573.10146987872
ENSDARG00000095653	-0.9973784519167973	0.10794928509151067	-149.01765223938335	0	0	6571.725368741725
ENSDARG00000045401	1.4995146487791458	1.3339260817633505	148.91283499199557	0	0	6565.794625773046
ENSDARG00000114549	-0.9234607752692189	0.2748607056075408	-148.1291063471624	0	0	6521.418250704386
