Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-6701	Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - 10x data	RNA-seq of coding RNA	Homo sapiens	35	2018-10-02	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6701/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6701/
E-MTAB-6555	RNA-sequencing of the mRNA transcriptome in blood, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (TNF) inhibitor, etanercept	RNA-seq of coding RNA	Homo sapiens	30	2018-10-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6555/E-MTAB-6555.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6555/
E-MTAB-6116	Single-cell ATAC-seq of a mixture of three oesophageal tissue (HET1A, OE33, OE19) derived cell lines	ATAC-seq	Homo sapiens	192	2018-10-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6116/
E-MTAB-6080	Response of several cell lines originated from liver, skin and colon to stimulation by IFNg, hyper-IL6, IL27 and OSM, investigated at mRNA level	transcription profiling by array	Homo sapiens	86	2018-10-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6080/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6080/
E-MTAB-6799	BRAFV600E FRO cells treated with BRAF inhibitor (vemurafenib) for 4, 15, 24 h	transcription profiling by array	Homo sapiens	12	2018-09-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6799/E-MTAB-6799.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6799/E-MTAB-6799.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6799/
E-MTAB-6175	Transcription profiling by array to investigate effect of repeated cigarette exposure on three-dimensional human bronchial epithelial cultures	transcription profiling by array	Homo sapiens	12	2018-09-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6175/E-MTAB-6175.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6175/
E-MTAB-6590	miRNA profiling of sarcoidosis Treg cells	microRNA profiling by array	Homo sapiens	27	2018-09-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6590/E-MTAB-6590.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6590/
E-MTAB-6158	RNA seq experiment of Treg cells isolated from peripheral blood of patients with pulmonary sarcoidosis compared to Treg cells from peripheral blood of healthy individuals	RNA-seq of coding RNA	Homo sapiens	12	2018-09-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6158/
E-MTAB-6520	High resolution SNP-Array analysis in a Chronic lymphocytic leukemia (CLL) patient	genotyping by array	Homo sapiens	1	2018-09-28	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6520/E-MTAB-6520.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6520/
E-MTAB-6448	Whole exome sequencing and transcription profiling of a patient cohort of oral cavity squamous cell carcinomas	DNA-seq, RNA-seq of coding RNA	Homo sapiens	86	2018-09-28	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6448/
E-MTAB-5817	ChIP-Seq mapping of histone modifications at multiple DNA Double Strand Breaks	ChIP-seq	Homo sapiens	51	2018-09-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5817/
E-MTAB-7212	Investigation of titanium coated imprinted polystyrene surfaces	transcription profiling by array	Homo sapiens	24	2018-09-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7212/E-MTAB-7212.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7212/E-MTAB-7212.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7212/
E-MTAB-7154	NGS data from ?Treatment of a metabolic liver disease by in vivo genome base editing in adult mice?	genotyping by high throughput sequencing	Homo sapiens, Mus musculus	165	2018-09-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7154/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7154/
E-MTAB-6556	RNA-sequencing of the mRNA transcriptome in lesional and non-lesional skin, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (TNF) inhibitor, etanercept	RNA-seq of coding RNA	Homo sapiens	59	2018-09-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6556/E-MTAB-6556.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6556/
E-MTAB-6428	RNA-sequencing of the small-RNA transcriptome in blood, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (TNF) inhibitor, etanercept	microRNA profiling by high throughput sequencing	Homo sapiens	30	2018-09-21	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6428/
E-MTAB-7177	Surface topography enhances differentiation of mesenchymal stem cells towards osteogenic and adipogenic lineages	transcription profiling by array	Homo sapiens	9	2018-09-20	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7177/E-MTAB-7177.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7177/E-MTAB-7177.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7177/
