Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MEXP-3695	Transcription profiling by array of a single human islet extracellular vesicle sample to study diabetes genes	transcription profiling by array	Homo sapiens	1	2012-08-02	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3695/E-MEXP-3695.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3695/
E-MEXP-3621	Transcription profiling by array of human white blood cells of patients with nosocomial sepsis to investigate immunologic alterations taking place	transcription profiling by array	Homo sapiens	10	2012-08-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3621/E-MEXP-3621.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3621/
E-MEXP-3419	Comparative genomic hybridization of a novel post-radiation human sarcoma cell line, the source tissue and normal reference samples	comparative genomic hybridization by array	Homo sapiens	4	2012-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3419/E-MEXP-3419.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3419/E-MEXP-3419.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3419/
E-MEXP-2930	Transcription profiling by array of ultra-conserved regions in human neuroblastoma cell lines after ATRA-induced differentiation	transcription profiling by array	Homo sapiens	12	2012-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2930/E-MEXP-2930.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2930/E-MEXP-2930.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-2930/
E-ERAD-12	MBD-Seq of human primary colorectal tumours to explore abnormal CGI methylation. EGA study	methylation profiling by high throughput sequencing	Homo sapiens	21	2012-08-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-ERAD-12/
E-MTAB-1185	Brain tumor model phenotype study	transcription profiling by array	Homo sapiens	8	2012-07-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1185/E-MTAB-1185.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1185/E-MTAB-1185.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1185/
E-MTAB-1076	Comparative genomic hybridization by array of mantle cell lymphoma clinical samples to study their genomic aberration profiles	comparative genomic hybridization by array	Homo sapiens	15	2012-07-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1076/E-MTAB-1076.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1076/
E-MEXP-3691	MicroRNA profiling by array of human pancreatic islets and pancreatic islet derived extracellular vesicles	microRNA profiling by array	Homo sapiens	2	2012-07-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3691/E-MEXP-3691.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3691/
E-MTAB-1197	Transcription profiling by high throughput sequencing of MPN1 deficient human cells to investigate the the effect of MPN1 mutations on pre-mRNA transcripts maturation in patients with Clericuzio-type poikiloderma with neutropenia	RNA-seq of coding RNA	Homo sapiens	3	2012-07-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1197/
E-MTAB-992	Comparative genomic hybridization by array of human colon cancer  xenografted in immunodeficient mice and rats to investigate clinical heterogeneity	comparative genomic hybridization by array	Homo sapiens	164	2012-07-27	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-992/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-992/
E-MTAB-991	Transcription profiling by array of human colon cancer xenografted in immunodeficient mice and rats to investigate clinical heterogeneity	transcription profiling by array	Homo sapiens	115	2012-07-27	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-991/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-991/
E-MEXP-3616	Adhesion and bacteriocin production by Lactobacillus salivarius influence the intestinal epithelial cell transcriptional response	transcription profiling by array	Homo sapiens	3	2012-07-27	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3616/E-MEXP-3616.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3616/E-MEXP-3616.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3616/
E-MEXP-3597	Transcription profiling by array of human Caco-2 cells stimulated with Lactobacillus salivarius UCC118 and unstimulated cells	transcription profiling by array	Homo sapiens	3	2012-07-27	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3597/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3597/E-MEXP-3597.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3597/
E-MTAB-1074	MicroRNA profiling by array of bone marrow from patients with cytogenetically normal acute myeloid leukemia to study microRNA expression profiles associated with different levels of miR-3151 expression	microRNA profiling by array	Homo sapiens	135	2012-07-20	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1074/E-MTAB-1074.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1074/
E-MEXP-3407	siRNA ELK1 depletion and EGF stimulation	transcription profiling by array	Homo sapiens	12	2012-07-20	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3407/E-MEXP-3407.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3407/E-MEXP-3407.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3407/
E-MTAB-741	Melanoma Cells Grown in Stem Cell and Serum Media	comparative genomic hybridization by array	Homo sapiens	21	2012-07-18	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-741/E-MTAB-741.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-741/
E-ERAD-81	MeCP2  Global distribution and transcription	ChIP-seq	Homo sapiens, Mus musculus, mouse	174	2012-07-18	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-ERAD-81/
E-MEXP-3527	ChIP-chip by array of human T-cell acute lmphoblastic leukaemia (T-ALL) cells using anti-H3K27me3 antibody	ChIP-chip by array	Homo sapiens	4	2012-07-17	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3527/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3527/
E-MEXP-3310	RNAi knock down by array of mouse hepatocytes using siSLC2A1	transcription profiling by array	Homo sapiens	5	2012-07-14	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3310/E-MEXP-3310.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3310/E-MEXP-3310.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3310/
E-MTAB-1216	Transcription profiling by array of diagnosis and relapse specimens of paediatric patients with acute lymphoblastic leukaemia (ALL) to identify mechanisms and pathways of therapy failure	transcription profiling by array	Homo sapiens	101	2012-07-13	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1216/E-MTAB-1216.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1216/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1216/
E-MEXP-3307	Upregulation of miR-24 is associated with decreased DNA damage repair in highly differentiated CD8-positive T cells	transcription profiling by array	Homo sapiens	8	2012-07-12	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3307/E-MEXP-3307.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3307/E-MEXP-3307.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3307/
E-MTAB-1208	Transcription profling by array of 15 untreated paediatric T-cell acute lymphoblastic leukaemia cell lines to identify genes associated with drug resistance	transcription profiling by array	Homo sapiens	15	2012-07-09	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1208/E-MTAB-1208.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1208/E-MTAB-1208.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1208/
E-MTAB-1179	Transcription profiling by array of human blood after single and successive SCUBA dives with different breathing gas compositions	transcription profiling by array	Homo sapiens	84	2012-07-07	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1179/E-MTAB-1179.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1179/
E-MTAB-1205	Transcription profiling by array of bone marrow from T-cell acute lymphoblastic leukemia pediatric patients to investigate outcome prediction	transcription profiling by array	Homo sapiens	50	2012-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1205/E-MTAB-1205.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1205/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1205/
E-MTAB-900	Transcription profiling by array of siRNA transfected HEK293T cells untreated or treated with TNF-alpha to study the effect of siRNA-mediated knockdown of different genes	transcription profiling by array	Homo sapiens	24	2012-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-900/E-MTAB-900.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-900/E-MTAB-900.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-900/
E-MEXP-3353	Transcription profiling by array of human bronchial epithelial cells stimulated with IL-13	transcription profiling by array	Homo sapiens	6	2012-07-05	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3353/E-MEXP-3353.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3353/E-MEXP-3353.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3353/
E-MEXP-3366	Unraveling the global microRNAome responses to ionizing radiation in human embryonic stem cells	transcription profiling by array	Homo sapiens	16	2012-07-04	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3366/E-MEXP-3366.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3366/
E-MTAB-1160	Transcription profiling by array of HaCaT cells transfected with HPV11 HPV16 or HPV45 genome	transcription profiling by array	Homo sapiens	11	2012-07-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1160/E-MTAB-1160.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1160/
E-MTAB-762	Human breast cancer cell line temporal response to Hepatocyte growth factor / scatter factor (HGF/SF)	transcription profiling by array	Homo sapiens	61	2012-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-762/E-MTAB-762.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-762/
E-MEXP-3601	Transcription profiling by array of CD4 positive T cells from anitviral-naive individuals infected with HIV, hepatitis C or both	transcription profiling by array	Homo sapiens	9	2012-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3601/E-MEXP-3601.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3601/E-MEXP-3601.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3601/
E-MEXP-3479	Transcription profiling by array of human gastric cancer cell line SNU638 over-expressing miR-146a	transcription profiling by array	Homo sapiens	6	2012-07-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3479/E-MEXP-3479.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3479/
E-MEXP-3386	Transcription profiling by array of human synovial fluid polymorphnuclear neutrophil granulocytes from rheumatoid arthritis patients and of blood polymorphnuclear neutrophil granulocytes from healthy donors	transcription profiling by array	Homo sapiens	13	2012-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3386/E-MEXP-3386.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3386/E-MEXP-3386.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3386/
E-MTAB-1148	Transcription profiling by array of Huh7.5 cells infected with Hepatitis C Virus Jc1	transcription profiling by array	Homo sapiens	14	2012-06-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1148/E-MTAB-1148.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1148/E-MTAB-1148.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1148/
E-MTAB-715	RNA-Seq of human platelet polyA-mRNA from a normal male	RNA-seq of coding RNA	Homo sapiens	1	2012-06-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-715/
E-MEXP-3287	Transcription profiling by array of human peripheral blood mononuclear cells from type 2 diabetes mellitus patients	transcription profiling by array	Homo sapiens	20	2012-06-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3287/E-MEXP-3287.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3287/
E-MTAB-1088	Transcription profiling by array of 17 human breast cancer samples	transcription profiling by array	Homo sapiens	41	2012-06-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1088/E-MTAB-1088.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1088/
E-MTAB-776	Wnt secretion protein Evi/Gpr177 promotes glioma tumorigenesis	transcription profiling by array	Homo sapiens	8	2012-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-776/E-MTAB-776.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-776/
E-MEXP-3654	Transcription profiling by array of human bone marrow stromal cells to examine the relationship between donor's age and the bone marrow stromal cell gene expression profile	transcription profiling by array	Homo sapiens	7	2012-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3654/E-MEXP-3654.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3654/E-MEXP-3654.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3654/
E-MEXP-3345	Transcription profiling by arra of human esophageal epithelial cells transduced with pre-miR-375 and stimulated with or without IL-13	transcription profiling by array	Homo sapiens	12	2012-06-27	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3345/E-MEXP-3345.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3345/E-MEXP-3345.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3345/
E-MEXP-3351	IL-13 Stimulated Esophageal Epithelial miRNA	transcription profiling by array	Homo sapiens	16	2012-06-26	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3351/E-MEXP-3351.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3351/E-MEXP-3351.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3351/
E-MTAB-1196	Transcription profiling by array of human breast cancer cell line MCF7 expressing TAP tagged ER-alpha following hormone treatment	transcription profiling by array	Homo sapiens	12	2012-06-25	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1196/E-MTAB-1196.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1196/
E-MEXP-3660	Comparison of gene expression profiles of head and neck squamous cell carcinoma cell lines and normal oral keratinocyte cell lines	transcription profiling by array	Homo sapiens	4	2012-06-20	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3660/E-MEXP-3660.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3660/E-MEXP-3660.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3660/
E-MEXP-3001	Intubated patients developing Tracheobronchitis or Pneumonia have distinctive complement system gene expression signatures	transcription profiling by array	Homo sapiens	56	2012-06-19	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3001/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3001/
E-MTAB-1087	Genotyping by array of 21 human breast cancer samples using Affymetrix SNP6 chips	genotyping by array	Homo sapiens	21	2012-06-16	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1087/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1087/
E-MEXP-3271	Transcription profiling by array of human angiosarcomas	transcription profiling by array	Homo sapiens	25	2012-06-14	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3271/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3271/
E-TABM-1215	Transcription profiling of MDA-MB-231 mammary cancer cells conditionally expressing progesterone receptor isoforms PRA and PRB	transcription profiling by array	Homo sapiens	14	2012-06-11	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1215/E-TABM-1215.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1215/E-TABM-1215.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1215/
E-TABM-1167	MicroRNA-expression profiling according to the Wilms tumor 1 (WT1) single nucleotide polymorphism rs16754 in adult de novo cytogenetically normal acute myeloid leukemia patients >=60 years	microRNA profiling by array	Homo sapiens	182	2012-06-09	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1167/E-TABM-1167.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1167/
E-TABM-1166	microRNA-expression profiling according to the Wilms tumor 1 (WT1) single nucleotide polymorphism rs16754 in adult de novo cytogenetically normal acute myeloid leukemia patients 60 years.\//\<	microRNA profiling by array	Homo sapiens	91	2012-06-09	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1166/E-TABM-1166.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1166/
E-TABM-1165	Gene-expression profiling according to the Wilms tumor 1 (WT1) single nucleotide polymorphism rs16754 in adult de novo cytogenetically normal acute myeloid leukemia	transcription profiling by array	Homo sapiens	294	2012-06-09	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1165/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1165/
E-MEXP-3252	Genomic profiling by SNParray of human angiosarcomas	genotyping by array	Homo sapiens	25	2012-06-09	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3252/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3252/
E-MEXP-3248	Genomic profiling by SNParray of human sarcomas developed in the field of irradiation after radiotherapy	genotyping by array	Homo sapiens	27	2012-06-08	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3248/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3248/
E-MTAB-697	Transcription profiling by array of human monocyte derived dendritic cells subject to fever-like thermal conditions (39C) or normal temperature (37C)	transcription profiling by array	Homo sapiens	18	2012-06-07	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-697/E-MTAB-697.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-697/
E-MTAB-1051	Renal Cell Carcinoma (RCC) tumorgrafts exhibit similar DNA copy number alterations to corresponding primary tumors	genotyping by array	Homo sapiens	62	2012-06-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1051/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1051/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1051/
E-MTAB-1050	Renal Cell Carcinoma (RCC) tumorgrafts exhibit similar gene expression profiling to corresponding primary tumors	transcription profiling by array	Homo sapiens	54	2012-06-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1050/E-MTAB-1050.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1050/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1050/
E-MTAB-695	MicroRNA profiling by array of human mixoid liposarcoma cell lines sensitive and resistant to trabectidin	microRNA profiling by array	Homo sapiens	8	2012-06-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-695/E-MTAB-695.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-695/E-MTAB-695.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-695/
E-TABM-1223	Transcription profiling by array of the effect of chemical mutagens and carcinogens on gene expression profiles in human TK6 cells	transcription profiling by array	Homo sapiens	137	2012-06-04	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1223/E-TABM-1223.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1223/
E-TABM-1162	Transcription profiling by array of human breast cancer cell lines treated with HPGD targeting siRNA and shRNA	transcription profiling by array	Homo sapiens	8	2012-06-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-TABM-1162/E-TABM-1162.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1162/
E-MTAB-1039	Transcription profiling by array of blood from healthy human subjects taken 0 to 125 minutes after the Trier social stress test	transcription profiling by array	Homo sapiens	277	2012-06-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1039/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1039/
E-MTAB-761	Transcription profiling by array of human HeLa cells with M1775R and A1789T BRCA1 missense mutations	transcription profiling by array	Homo sapiens	15	2012-06-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-761/E-MTAB-761.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-761/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-761/
E-MTAB-729	mRNA expression of Atopic Dermatitis skin	transcription profiling by array	Homo sapiens	10	2012-06-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-729/E-MTAB-729.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-729/
E-MTAB-728	mRNA expression of Atopic Dermatitis keratinocytes	transcription profiling by array	Homo sapiens	9	2012-06-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-728/E-MTAB-728.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-728/
E-MEXP-3530	MicroRNA profiling by array of prostate after goserelin and bicalutamide treatments	microRNA profiling by array	Homo sapiens	28	2012-06-01	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3530/E-MEXP-3530.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3530/E-MEXP-3530.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3530/
E-MTAB-998	Comparative genomic hybridization by array of human peripheral T-cell lymphoma clinical samples to study their genomic aberration profiles	 comparative genomic hybridization by array	Homo sapiens	13	2012-05-31	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-998/E-MTAB-998.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-998/
E-MEXP-3634	Transcription profiling by array of breast carcinoma cell line SKBR3 treated with the HOX / PBX antagonist peptide HXR9 or the inactive control peptide CXR9	transcription profiling by array	Homo sapiens	2	2012-05-31	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3634/E-MEXP-3634.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3634/E-MEXP-3634.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3634/
E-MEXP-3431	Transcription profiling by array of human primary keratinocytes to study the role of p21 as a co-represor of S-phase and mitotic control gene	transcription profiling by array	Homo sapiens	11	2012-05-30	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3431/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3431/E-MEXP-3431.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3431/
E-MEXP-3286	Transcriptional Profiles in Peripheral Blood Mononuclear Cells - PBMC - from individual controls for Type 2 Diabetes Mellitus	transcription profiling by array	Homo sapiens	3	2012-05-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3286/E-MEXP-3286.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3286/
E-MTAB-688	Transcription profiling by array of human MCF-7 breast cancer cells with FOXP3 target gene expression with and without MOF knockdown	transcription profiling by array	Homo sapiens	12	2012-05-26	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-688/E-MTAB-688.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-688/E-MTAB-688.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-688/
E-MTAB-994	ChIP-seq of Sp2 in wild type and deltaSp2 mouse embryonic fibroblasts and human embryonic kidney cell line HEK293	ChIP-seq	Homo sapiens, Mus musculus	6	2012-05-24	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-994/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-994/
E-MTAB-1143	ChIP-seq of human and mouse pancreas islets to investigate Pdx1 occupancy	ChIP-seq	Homo sapiens, Mus musculus 	10	2012-05-23	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1143/
E-MTAB-1136	MicroRNA profiling by array of human osteosarcoma and their normal bone counterpart	microRNA profiling by array	Homo sapiens	49	2012-05-21	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1136/E-MTAB-1136.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1136/
E-MEXP-3567	Transcription profiling by array of children blood with serious bacterial infections	transcription profiling by array	Homo sapiens	15	2012-05-20	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3567/E-MEXP-3567.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3567/
E-MEXP-3499	ChIP-chip by array of human HeLa cells exposed to 1% oxygen (hypoxia) or 21% oxygen (normoxic control) to study the DNA binding profile of endogenous HIF1A on proximal promoters	ChIP-chip by array	Homo sapiens	6	2012-05-20	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3499/E-MEXP-3499.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3499/E-MEXP-3499.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3499/
E-MEXP-3635	Transcription profiling of CD8+ T cells from patients infected with human immunodeficiency virus, hepatitis C virus, or both	transcription profiling by array	Homo sapiens	9	2012-05-17	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3635/E-MEXP-3635.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3635/E-MEXP-3635.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3635/
E-MEXP-3628	Transcription profiling by array of human bone specimens from patients with osteosarcoma	transcription profiling by array	Homo sapiens	18	2012-05-14	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3628/E-MEXP-3628.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3628/
E-MEXP-3298	MicroRNA profiling by array of human esophageal biopsies from eosinophilic esphagitis patients and normal controls	microRNA profiling by array	Homo sapiens	58	2012-05-14	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3298/E-MEXP-3298.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3298/E-MEXP-3298.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3298/
